% Device,CC1841005
% File name,CC1841005_20220417_062738
% Cast time (UTC),2022-04-17 06:27:38
% Cast time (local),2022-04-17 02:27:38
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,49.4797267
% Start longitude,0.0276967
% Start altitude,52.715000152587891
% Start GPS horizontal error(Meter),9.9209995269775391
% Start GPS vertical error(Meter),18.937000274658203
% Start GPS number of satellites,5
% End latitude,49.4795053
% End longitude,0.0281416
% End altitude,50.180999755859375
% End GPS horizontal error(Meter),215.89500427246094
% End GPS vertical error(Meter),98.611000061035156
% End GPS number of satellites,4
% Cast duration (Seconds),645.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-11-19
% Temperature calibration date,2018-11-16
% Pressure calibration date,2018-11-13
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
403.6,8.28105865715086,10.462326049804688,36462.140625
403.8,8.2714944221437445,10.461786270141602,36466.95703125
404,8.2587391928739322,10.463384628295898,36466.8046875
404.2,8.24811256467834,10.463836669921875,36471.6328125
404.4,8.2279243977864578,10.462716102600098,36467.20703125
404.6,8.2215435276475066,10.463505744934082,36472.203125
404.8,8.206665419349374,10.464300155639648,36461.98828125
405,8.2034755434731181,10.463241577148438,36475.5546875
405.2,8.2151553575382668,10.46274471282959,36471.12890625
405.4,8.21940414132998,10.462369918823242,36469.67578125
405.6,8.2363959213375129,10.462512969970703,36477.02734375
405.8,8.2491362212425052,10.463024139404297,36475.5625
406,8.26134818557621,10.46297550201416,36473.19921875
406.2,8.2714372708815933,10.462876319885254,36477.6953125
406.4,8.2836473278666656,10.462440490722656,36479.4140625
406.6,8.2937345058234158,10.463366508483887,36480.6484375
406.8,8.3011666544832927,10.464088439941406,36473.42578125
407,8.3032887445494179,10.464237213134766,36482.5234375
407.2,8.3032841408899589,10.465526580810547,36476.515625
407.4,8.2979656639394825,10.465825080871582,36479.87109375
407.6,8.2921207587663517,10.464473724365234,36477.328125
407.8,8.2825546164106036,10.464292526245117,36480.2734375
408,8.2756473180489944,10.463607788085938,36491.7890625
408.2,8.2543929432713714,10.465195655822754,36482.9609375
408.4,8.2294230533570278,10.465289115905762,36478.890625
408.6,8.2076403430081157,10.4644136428833,36465.3046875
408.8,8.1943586855156472,10.464970588684082,36472.828125
409,8.1890421159138054,10.464176177978516,36473.265625
409.2,8.1943475708480946,10.464296340942383,36463.56640625
409.4,8.19487511745719,10.463471412658691,36474.3125
409.6,8.2108045042762452,10.462059020996094,36479.92578125
409.8,8.2198311963931534,10.461414337158203,36467.7265625
410,8.2447899716399444,10.461601257324219,36475.85546875
410.2,8.2490368480830227,10.461767196655273,36485.28515625
410.4,8.2596523616110638,10.462335586547852,36460.86328125
410.6,8.2755836557787514,10.462438583374023,36478.0625
410.8,8.26814420714859,10.463768005371094,36486.5625
411,8.262825730198113,10.463651657104492,36481.1484375
411.2,8.26441948469295,10.462599754333496,36484.23828125
411.4,8.2516642554231385,10.462654113769531,36477.01171875
411.6,8.2293493948056717,10.462020874023438,36481.71875
411.8,8.2128824650964063,10.46214771270752,36480.6796875
412,8.2107530750599942,10.462279319763184,36481.96484375
412.2,8.1937482730362774,10.463582038879395,36474.92578125
412.4,8.2006482714275979,10.462059020996094,36485.5859375
412.6,8.2043629976021233,10.463024139404297,36484.47265625
412.8,8.2117932389133657,10.462136268615723,36479.7890625
413,8.2234768676757817,10.462885856628418,36477.578125
413.2,8.253215458596399,10.461931228637695,36476.54296875
413.4,8.2670238737357682,10.461772918701172,36473.3515625
413.6,8.2760448438067762,10.461380958557129,36466.6328125
413.8,8.2903835018660672,10.461794853210449,36474.44140625
414,8.2967532573374658,10.461292266845703,36470.8125
414.2,8.3020587122717568,10.462627410888672,36465.2109375
414.4,8.3084284677431572,10.462692260742188,36460.3828125
414.6,8.3031138054899465,10.462516784667969,36483.79296875
414.8,8.2935476631341984,10.462654113769531,36480.3984375
415,8.2802640982930971,10.462484359741211,36464.72265625
415.2,8.2664483831834428,10.461385726928711,36484.86328125
415.4,8.24838309531988,10.46209716796875,36474.859375
415.6,8.2308518650735074,10.462003707885742,36472.1640625
415.8,8.2000378589482263,10.462929725646973,36485.41015625
416,8.2021599490143533,10.462218284606934,36479.47265625
416.2,8.1899368700130957,10.462682723999023,36476.125
