Image,Avg_Angle_StD,Avg_Major_Minor,Streak
247.0,54.3464031317466,1.648352916307358,0.0
248.0,33.53923809805982,1.4922994002416508,0.0
249.0,41.3217796752076,1.5990374472245863,0.0
250.0,63.49621310651638,1.8501513316268776,0.0
251.0,56.298353380121334,1.5665450543434063,0.0
252.0,52.93667427785769,1.5262510986944617,0.0
253.0,14.265719641504246,1.7398372524269536,1.0
254.0,29.41414471298929,1.607477999688043,0.0
255.0,64.929097137905,1.716962794002945,0.0
256.0,39.16028924275698,1.5164956745653206,0.0
257.0,23.88491369800425,2.2109887553357415,1.0
258.0,64.11528995014946,1.767549980430327,0.0
259.0,58.39833867880435,1.5749270161390299,0.0
260.0,43.35690199860268,1.602075072065022,0.0
261.0,20.7841188013093,1.61877490597185,0.0
262.0,63.48678033785389,1.6274483367740329,0.0
263.0,59.934283634252445,1.7136533057143357,0.0
264.0,51.664545436531576,1.5840942050817675,0.0
265.0,29.50363682666935,1.999528887143209,1.0
266.0,72.54984642660779,1.5699186306273902,0.0
267.0,62.391141409381774,1.6412275243631962,0.0
268.0,34.94110645079145,1.927489480607382,1.0
269.0,36.806205267259216,1.7294963593936752,0.0
270.0,61.054464056427506,1.5772260539802379,0.0
271.0,63.915486973824116,1.7682022502787416,0.0
272.0,10.413025746630995,2.0258407742713915,1.0
273.0,42.384545023940035,1.4948365714181082,0.0
274.0,72.96685255556463,1.9390681512815986,0.0
275.0,32.77519699497124,1.6186092689967364,0.0
276.0,41.24621610010035,1.6706470552999362,0.0
277.0,59.01116762031969,1.6183533824443719,0.0
278.0,25.804802893518357,1.6356819379787673,0.0
279.0,66.70156954490204,1.7059727261478361,0.0
280.0,29.242352976421603,1.6877537199835544,0.0
281.0,29.044502004172152,2.129230313229351,1.0
282.0,73.27144971294713,1.8725471823212427,0.0
283.0,44.51631750251108,1.5535445747446477,0.0
284.0,23.65063198076335,1.9241918920226493,1.0
285.0,58.83082889238903,1.5075633456563433,0.0
286.0,54.035474440636605,1.670808889219619,0.0
287.0,46.57373788993106,1.5712972071668727,0.0
288.0,55.170644181399496,1.7798257802677517,0.0
289.0,43.91909891860513,1.6324053860673218,0.0
290.0,29.16022100610693,1.5408054504469788,1.0
291.0,68.38009038724627,1.64319254486455,0.0
292.0,38.14214953355409,1.882304099521677,0.0
293.0,50.6778982581822,1.7636657387087733,0.0
